building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,semantic__ai_fine_functions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,semantic__ai_fine_functions,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,semantic__ai_fine_functions,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,semantic__ai_fine_functions,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,semantic__ai_fine_functions,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,semantic__ai_fine_functions,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,semantic__ai_fine_functions,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,semantic__ai_fine_functions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,semantic__ai_fine_functions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,semantic__ai_fine_functions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,semantic__ai_fine_functions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,semantic__ai_fine_functions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,semantic__ai_fine_functions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,global,0,0.15431742370128632,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,global,12,0.20881162583827972,29,"[19, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,coarse,0,0.15440449118614197,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,coarse,12,0.20516522228717804,29,"[19, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,main,0,0.15431742370128632,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,semantic__ai_fine_functions,main,12,0.20881162583827972,29,"[19, 10, 0]",knn,16,0.0,3
VFuaQ6m2Qom,bathroom,semantic__ai_fine_functions,global,0,0.16014304757118225,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,semantic__ai_fine_functions,global,13,0.16750000417232513,16,"[0, 6, 10]",knn,16,0.0,5
VFuaQ6m2Qom,bathroom,semantic__ai_fine_functions,coarse,0,0.16014304757118225,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,semantic__ai_fine_functions,coarse,13,0.16750000417232513,16,"[0, 6, 10]",knn,16,0.0,5
