base_task_id,building_id,task_analysis_class,has_semi_candidate,in_primary_entropy_sample,primary_exclusion_reason,task_final_scope,scope_resolution_status,worker_scope_direction,n_worker_in_scope,n_worker_oos,n_worker_missing,mixed_scope_response,manual_canonical_context_count,semi_canonical_context_count,manual_formal_geometry_k,semi_formal_geometry_k,manual_all_canonical_valid_k,semi_all_canonical_valid_k,semi_review_rows,semi_review_analysis_eligible_rows,semi_review_edit_rate,preannotation_feature_ready,preannotation_feature_exclusion_reason,secondary_analysis_lanes
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual_only_oos,False,False,task_final_scope_oos,oos,resolved,oos,2.0,3.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,1.0,False,6,4,5,4,6,4,4,4,0.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,paired_primary,True,True,,in_scope,resolved,in_scope,3.0,2.0,0.0,True,5,4,5,4,5,4,4,4,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual_only_oos,False,False,task_final_scope_oos,oos,resolved,in_scope,3.0,2.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,paired_primary,True,True,,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,4,5,4,5,4,4,4,0.5,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,paired_primary,True,True,,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,4,5,4,5,4,4,4,0.75,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,paired_primary,True,True,,in_scope,resolved,in_scope,3.0,2.0,1.0,True,6,4,5,4,6,4,4,4,0.75,False,missing_feature_or_frozen_model_identity_or_task_identity,formal_geometry_uncertainty;excluded_context_sensitivity
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,0.0,True,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,4.0,1.0,1.0,True,6,0,0,0,6,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual_only_in_scope,False,False,no_semi_candidate,in_scope,resolved,in_scope,5.0,0.0,0.0,False,5,0,0,0,5,0,0,0,,False,missing_feature_or_frozen_model_identity_or_task_identity,manual_only_ambiguity
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,paired_oos,True,False,task_final_scope_oos,oos,resolved,oos,2.0,3.0,0.0,True,5,4,0,0,4,4,4,0,1.0,False,missing_feature_or_frozen_model_identity_or_task_identity,oos_scope_semantic_uncertainty
