base_task_id,stage,source_stage,stage_subset,condition,building_id,official_split,source_task_id,runtime_context_count,language_contexts,source_dataset_group,reference_regime,reference_record_path,reference_identity,reference_file_sha256,reference_geometry_sha256,reference_status,reference_validation_level,reference_independence_status,reference_independence_basis,submission_informed_reference_revision,reference_revision_status,geometry_reference_ready,primary_geometry_eligible,final_scope,scope_subtype,scope_resolution_status,scope_source,final_gold_source,export_snapshot,worker_scope_answer_set_version,analysis_stratum,p1_28_sensitivity_eligible,exclusion_reason
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,C1,C1_anchor,manual,UwV83HsGsw3,test,561,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3408:4957,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,C1,C1_anchor,manual,rPc6DW4iMge,test,563,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3410:4959,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,841c6b49bcbbf464fe82af5a654b84d15ef66e32bf40e8dce043c496129603d3,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,C1,C1_anchor,manual,rPc6DW4iMge,test,557,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3404:4953,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,533b2787d1308dd2f142a3ca8c1bca78ae5bc94b883d1cd7480391ab0179eab0,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,C1,C1_anchor,manual,uNb9QFRL6hY,test,558,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3405:4954,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,ad171dccba43f845d64765713ce7bcf9847158dd3d35e39faead108faa2bf820,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,C1,C1_anchor,manual,uNb9QFRL6hY,test,626,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3473:5022,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,6e454d3d9c1bb75a32469a15212e0a8b60385be6f1913e1b85887fb7a0753ad8,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,C1,C1_anchor,manual,uNb9QFRL6hY,test,474,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3321:4870,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,18639ddb2310ded7943a2417c792348d7534d8ae5dde495a2c5606facf88d2a0,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,C1,C1_anchor,manual,uNb9QFRL6hY,test,518,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3365:4914,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,df8aca9c41b41bf518e804460378cf21e9aa66aa81d91bd08feb6444cc0880b4,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,C1,C1_anchor,manual,uNb9QFRL6hY,test,482,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3329:4878,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,737f6ac0924d4341a7cf19fa0606a386310285e081002aba392a25c3d2165959,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1,C1,C1_anchor,manual,wc2JMjhGNzB,test,580,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3427:4976,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,cd313f17061e44f5922c893162096831a8b8abeac948f6b4f6429e53fe3ec1ab,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1,C1,C1_anchor,manual,wc2JMjhGNzB,test,683,2,Chinese;English,Calibration_anchor,public_frozen_gt,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,gt:70:3530:5079,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,21f266c9e024199f757213674c06a60738803b2783bb22435c4bc65a1c8fd03e,reference_ready_public_gt,evaluable,documented_no_submission_informed_revision,public_frozen_gt; per-row false; operational correction_count=0,False,no_reference_amendment,True,True,in_scope,,resolved,expert_adjudicated,public_frozen_gt,,not_materialized,C1_primary,not_applicable,
