variable_en,variable_zh,meaning_zh,approximate_formula
computable,可计算,该记录具有计算该变量所需的数值/几何；不等于原论文正式资格,required fields are present and numerically valid
formal_use_allowed,原论文正式使用允许,旧方法合同下是否可进入正式 estimand；本报告不把它作为全局删除条件,legacy/formal eligibility flag
shannon_entropy,Shannon 模式熵,模式分布越分散，值越大,-sum_m p_m * ln(p_m)
gini_simpson,Gini–Simpson 分歧,随机抽两份标注落入不同模式的概率型指标,1 - sum_m p_m^2
largest_mode_share,最大模式占比,最大几何/拓扑模式的支持人数除以有效人数,max_m n_m / sum_m n_m
topology_shannon_entropy,拓扑熵,以角点数量/点数签名作为类别计算的跨阶段描述性熵,"-sum_j p_j * ln(p_j), j indexes n_corners signatures"
same_topology_cyclic_rmse_median,同拓扑循环对齐 RMSE 中位数,相同角点数标注经循环位移/反向对齐后的坐标差，除以全景对角线,median min_shift sqrt(mean(dx_circular^2+dy^2))/sqrt(1024^2+512^2)
pairwise_jaccard_mean,元标签集合平均 Jaccard,两名工人选择集合的交集/并集，再对工人对取均值,mean_{u<v} |S_u∩S_v|/|S_u∪S_v|
mean_label_entropy,平均元标签熵,对每个二元标签计算 Bernoulli 熵，再在标签上取均值,mean_l[-p_l ln p_l-(1-p_l)ln(1-p_l)]
active_time_observed_seconds,活跃操作时间（秒）,各阶段脚本记录的活跃交互时间；C1 按 task-worker-session 正式规则重建,within session max cumulative seconds; sum eligible sessions for C1
lead_time_seconds,Label Studio 经过时间（秒）,从界面开始到提交的 elapsed time；与 active time 分开分析,Label Studio annotation.lead_time
active_to_lead_ratio,活跃/经过时间比,活跃操作时间除以 lead time；仅两者均有值且 lead time>0时定义,active_time / lead_time
delta_shannon_entropy,Semi−Manual 熵差,同图、等支持量下 Semi 的模式熵减 Manual 的模式熵；负值表示 Semi 更集中,H_semi - H_manual
delta_iou_to_gt,Semi−Manual GT IoU 差,同图任务均值质量之差；资格口径需另行说明,mean_u IoU_semi - mean_u IoU_manual
crowd_gt_gap_best_minus_largest,最佳 GT 对齐簇与最大簇差,与 GT 最接近簇的中位 IoU减最大人群簇的中位 IoU,max_m median(IoU_m) - median(IoU_largest)
largest_mode_rate,工人进入最大模式比例,工人在具有唯一分区的重复任务中落入最大簇的比例,count(is_largest_mode)/task_count
task_centered_n_pairs,任务中心化角点对偏差,工人角点对数减同任务条件中位数；正值表示相对更细分,n_pairs_worker - median_task(n_pairs)
probability_observe_at_least_two_minority,至少观察到两名少数模式的概率,假设独立抽样且真实少数模式比例为 p，在 k 人中出现至少两次,1-(1-p)^k-k*p*(1-p)^(k-1)
projected_95ci_half_width,预计 95% 区间半宽,按当前 building-level 方差和独立建筑数近似投影,1.96 * sd_building / sqrt(B)
minimum_detectable_effect,约 80% 功效最小可检出效应,正态近似、双侧 alpha=.05,(z_.975+z_.80)*sd_building/sqrt(B)
