image_id,code,building,scene,scene_source,display_groups,supported_groups,room_state,manual_people,manual_band,semi_people,submitters_all_ids,no_saved_submission_or_draft,unseen_english,in_original_112,in_any_current_candidate_pool,in_required,in_H,in_followup_proposal,oos_status,image_path,group_physical_same_states
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7-01,2t7WUuJeko7,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G001""]","[""G001""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_073656b4030d4389ba7f304298be1d73.png,"{""G001"": ""支持""}"
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7-02,2t7WUuJeko7,厨房与用餐,current_coarse_review；不采用未确认的新模型建议,"[""G002""]","[""G002""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",True,True,False,False,True,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59.png,"{""G002"": ""支持""}"
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7-03,2t7WUuJeko7,厨房与用餐,current_coarse_review；不采用未确认的新模型建议,"[""G002""]","[""G002""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",True,True,False,False,True,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94.png,"{""G002"": ""支持""}"
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,2t7WUuJeko7-04,2t7WUuJeko7,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G003""]","[""G003""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_27af7fd637014142a4f530cfd4557189.png,"{""G003"": ""支持""}"
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7-05,2t7WUuJeko7,厨房与用餐,current_coarse_review；不采用未确认的新模型建议,"[""G002""]","[""G002""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",True,True,False,False,True,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e.png,"{""G002"": ""支持""}"
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G003""]","[""G003""]",已有支持同房关系,3,3—7,0,3,False,"[28, 29, 30, 32, 33, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.png,"{""G003"": ""支持""}"
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7-08,2t7WUuJeko7,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G004""]","[""G004""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820.png,"{""G004"": ""支持""}"
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,2t7WUuJeko7,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G005""]","[""G005""]",已有支持同房关系,3,3—7,0,3,False,"[28, 29, 30, 32, 33, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.png,"{""G005"": ""支持""}"
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7-10,2t7WUuJeko7,厨房与用餐,current_coarse_review；不采用未确认的新模型建议,"[""G002""]","[""G002""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",True,True,False,False,True,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,"{""G002"": ""支持""}"
2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,2t7WUuJeko7-11,2t7WUuJeko7,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G001""]","[""G001""]",已有支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847.png,"{""G001"": ""支持""}"
