review_id,image_id,paired_image_id,reason,question,affected_conclusion,subjective_tag,coarse_source,coarse_category,AI_main_space,AI_main_source,room_id,room_relation_status,numeric_trigger,canonical_ids,worker_ids,recommended_numeric_cut,source,hohonet_points,bi_enclosed_points,bi_extended_points,bi_scope_difference,feedback_p_simple,feedback_p_medium,feedback_p_hard,manual_n_valid,manual_supported_modes,manual_singleton_fraction
Q001,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,mixed_display_G002,五个厨房主空间视点的两张简单/三张中等：哪一处可见边界或空间范围不同？用餐主空间的类别差别不能解释同一厨房内部的差别。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,厨房与用餐,老式炉灶与白色橱柜厨房,AI_new_spatial_review,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,group=G002; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,12,12,12,0.000379228280838,0.437459051609,0.375450491905,0.187090441585,,,
Q002,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,mixed_display_G002,五个厨房主空间视点的两张简单/三张中等：哪一处可见边界或空间范围不同？用餐主空间的类别差别不能解释同一厨房内部的差别。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,厨房与用餐,白色玻璃吊柜厨房,AI_new_spatial_review,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,group=G002; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,12,12,12,0.000374011942943,0.437459051609,0.375450491905,0.187090441585,,,
Q003,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,mixed_display_G002,五个厨房主空间视点的两张简单/三张中等：哪一处可见边界或空间范围不同？用餐主空间的类别差别不能解释同一厨房内部的差别。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,中等,早期争议复核导出.user_type,厨房与用餐,炉灶旁厨房,AI_new_spatial_review,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,group=G002; tag=中等; paired_tag=简单; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,12,13,12.5,0.000388078945075,0.410547852516,0.396578043699,0.192874103785,,,
Q004,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,mixed_display_G002,五个厨房主空间视点的两张简单/三张中等：哪一处可见边界或空间范围不同？用餐主空间的类别差别不能解释同一厨房内部的差别。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,中等,早期争议复核导出.user_type,厨房与用餐,厨房靠后门小餐桌一端,AI_new_spatial_review,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,group=G002; tag=中等; paired_tag=简单; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,12,12,12,0.000363093345265,0.437459051609,0.375450491905,0.187090441585,,,
Q005,2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,mixed_display_G002,五个厨房主空间视点的两张简单/三张中等：哪一处可见边界或空间范围不同？用餐主空间的类别差别不能解释同一厨房内部的差别。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,中等,早期争议复核导出.user_type,厨房与用餐,老式炉灶所在厨房,AI_new_spatial_review,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,group=G002; tag=中等; paired_tag=简单; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,12,12,12,0.000730785370767,0.437459051609,0.375450491905,0.187090441585,,,
Q006,uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,mixed_display_G178,确认相机当前主空间、相邻可见区域与实际要求的标注范围；解释同组不同难度是否来自视点遮挡/结构，或只是主空间与整体场景混用。不得仅凭展示组假定物理同房。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,工作与学习,书房为主,AI_new_spatial_review,supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,supported_component,group=G178; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,8,8,8,0.000767240478103,0.666409194469,0.274980425835,0.0586103387177,,,
Q007,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,mixed_display_G178,确认相机当前主空间、相邻可见区域与实际要求的标注范围；解释同组不同难度是否来自视点遮挡/结构，或只是主空间与整体场景混用。不得仅凭展示组假定物理同房。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,中等,早期争议复核导出.user_type,工作与学习,书房为主,AI_new_spatial_review,supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,supported_component,group=G178; tag=中等; paired_tag=简单; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,8,8,8,0.00035760551299,0.666409194469,0.274980425835,0.0586103387177,,,
Q008,uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,mixed_display_G178,确认相机当前主空间、相邻可见区域与实际要求的标注范围；解释同组不同难度是否来自视点遮挡/结构，或只是主空间与整体场景混用。不得仅凭展示组假定物理同房。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,工作与学习,书房为主,AI_new_spatial_review,supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,supported_component,group=G178; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,8,8,8,0.000355728566033,0.666409194469,0.274980425835,0.0586103387177,,,
Q009,uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,mixed_display_G178,确认相机当前主空间、相邻可见区域与实际要求的标注范围；解释同组不同难度是否来自视点遮挡/结构，或只是主空间与整体场景混用。不得仅凭展示组假定物理同房。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,工作与学习,书房为主；入口次要,AI_new_spatial_review,supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,supported_component,group=G178; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,8,8,8,0.000662074081518,0.666409194469,0.274980425835,0.0586103387177,,,
Q010,uNb9QFRL6hY_e0b8950793b447bd8b9f916e98e849d1,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,mixed_display_G178,确认相机当前主空间、相邻可见区域与实际要求的标注范围；解释同组不同难度是否来自视点遮挡/结构，或只是主空间与整体场景混用。不得仅凭展示组假定物理同房。,主空间解释是否真实；不能把组别、来源或类别识别冒充类别内难易,简单,早期争议复核导出.user_type,工作与学习,书房为主,AI_new_spatial_review,supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,supported_component,group=G178; tag=简单; paired_tag=中等; relation=supported_component,,,".05,.10,.20",numeric/text triage only; image not viewed,8,8,8,0.00123560843315,0.666409194469,0.274980425835,0.0586103387177,,,
