task_id,base_task_id,keep,final_role,is_promoted_anchor,is_demoted_anchor_candidate,priority_flag,review_note_flag,default_eligible,scope,difficulty_tags,model_issue_tags,poly_residue_flag,recommended_role,keep_reason,drop_reason,reference_binding_status,adjudication_status,notes
462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,True,non_anchor,False,False,default,True,False,normal,low_texture;seam,corner_drift,False,audit_only,Retained as a non-anchor only. Current folder-level notes still indicate unstable or insufficiently reproducible geometry for the expert-anchor core.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"note_files=特别注意.md | 特别注意.md: 这个图片我自己来标,很久都没法保证3d图像的稳定性,而且 图片 里有一面墙向里面凹陷了,又因为拼接缝的原因,感觉没法标注到 真实角点,3d的预览图 没法真正成为一个立方体.你帮我查一下有没有gt标注,我想知道他是怎么标注的(我的标注文件里也应该有,你对比一下出的问题在哪)"
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,True,expert_anchor,False,False,default,False,True,normal,occlusion;reflection,corner_drift,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,True,expert_anchor,False,False,default,False,True,normal,occlusion,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,True,non_anchor,False,True,special_review,True,True,normal,occlusion;reflection,overextend_adjacent,False,manual_anchor_candidate,"Retained as a non-anchor for quota balancing. This sample remains usable, but its possible-ambiguity note makes it the safest review-flagged row to move out of the expert-anchor core.",,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=可能有歧义
510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,True,expert_anchor,False,False,default,False,True,normal,seam,corner_drift,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,True,non_anchor,False,False,low_priority,True,False,normal,occlusion,corner_drift,False,audit_only,Retained as a non-anchor only. Current folder-level notes still indicate unstable or insufficiently reproducible geometry for the expert-anchor core.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=低优先,有歧义 | note_files=特别说明.md | 特别说明.md: 这个文件 模型完全失效,而且人 也基本没法标,墙复杂,房间结构有点复杂,有些 信息缺失的太严重,比如说图中左边的墙挡住了真实的墙角拐点. 我觉得甚至可以放到OOS的证据不足里了"
550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,True,expert_anchor,False,False,default,False,True,normal,trivial,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,True,expert_anchor,False,False,default,False,True,normal,trivial,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,True,expert_anchor,False,False,default,False,True,normal,occlusion;reflection,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,True,expert_anchor,False,False,default,False,True,normal,trivial,acceptable,False,manual_anchor_candidate,Retained as a default in-scope expert anchor on the current working-consensus layer.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
