building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,feedback__bi_scope,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,feedback__bi_scope,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,feedback__bi_scope,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,feedback__bi_scope,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,feedback__bi_scope,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,feedback__bi_scope,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,feedback__bi_scope,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,feedback__bi_scope,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,feedback__bi_scope,global,0,0.16963450610637665,28,"[18, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,卧室,feedback__bi_scope,global,6,0.25857117772102356,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,feedback__bi_scope,coarse,0,0.16963450610637665,28,"[18, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,卧室,feedback__bi_scope,coarse,6,0.25857117772102356,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,feedback__bi_scope,main,0,0.16963450610637665,28,"[18, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,卧室,feedback__bi_scope,main,6,0.25857117772102356,28,"[18, 10, 0]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,feedback__bi_scope,global,2,0.07060717046260834,16,"[0, 6, 10]",ridge,0,1.0,0
VFuaQ6m2Qom,卫浴,feedback__bi_scope,global,4,0.12499955296516418,16,"[0, 6, 10]",knn,0,0.0,1
VFuaQ6m2Qom,卫浴,feedback__bi_scope,coarse,2,0.07060717046260834,16,"[0, 6, 10]",ridge,0,1.0,0
VFuaQ6m2Qom,卫浴,feedback__bi_scope,coarse,4,0.12499955296516418,16,"[0, 6, 10]",knn,0,0.0,1
VFuaQ6m2Qom,卫浴,feedback__bi_scope,main,2,0.07060717046260834,16,"[0, 6, 10]",ridge,0,1.0,0
VFuaQ6m2Qom,卫浴,feedback__bi_scope,main,4,0.12499955296516418,16,"[0, 6, 10]",knn,0,0.0,1
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,global,1,0.21963384747505188,9,"[6, 3, 0]",ridge,0,10.0,0
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,global,5,0.20987598598003387,9,"[6, 3, 0]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,coarse,1,0.21963384747505188,9,"[6, 3, 0]",ridge,0,10.0,0
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,coarse,5,0.20987598598003387,9,"[6, 3, 0]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,main,1,0.19110943377017975,9,"[6, 3, 0]",ridge,0,10.0,0
Z6MFQCViBuw,厨房与用餐,feedback__bi_scope,main,5,0.18130739033222198,9,"[6, 3, 0]",knn,0,0.0,3
e9zR4mvMWw7,卧室,feedback__bi_scope,global,0,0.17298991978168488,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,feedback__bi_scope,global,6,0.24888871610164642,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,feedback__bi_scope,coarse,0,0.17298991978168488,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,feedback__bi_scope,coarse,6,0.24888871610164642,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,feedback__bi_scope,main,0,0.17298991978168488,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,feedback__bi_scope,main,6,0.24888871610164642,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,复合／待定,feedback__bi_scope,global,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,feedback__bi_scope,global,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,feedback__bi_scope,coarse,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,feedback__bi_scope,coarse,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,feedback__bi_scope,main,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,feedback__bi_scope,main,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
jtcxE69GiFV,卧室,feedback__bi_scope,global,0,0.10928349941968918,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,feedback__bi_scope,global,6,0.13142834603786469,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,feedback__bi_scope,coarse,0,0.10928349941968918,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,feedback__bi_scope,coarse,6,0.13142834603786469,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,feedback__bi_scope,main,0,0.10928349941968918,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,feedback__bi_scope,main,6,0.13142834603786469,28,"[23, 5, 0]",knn,0,0.0,5
pa4otMbVnkk,起居与休闲,feedback__bi_scope,global,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,feedback__bi_scope,global,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,feedback__bi_scope,coarse,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,feedback__bi_scope,coarse,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,feedback__bi_scope,main,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,feedback__bi_scope,main,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
rPc6DW4iMge,卧室,feedback__bi_scope,global,0,0.15119889378547668,30,"[20, 10, 0]",ridge,0,100.0,0
rPc6DW4iMge,卧室,feedback__bi_scope,global,6,0.1873331367969513,30,"[20, 10, 0]",knn,0,0.0,5
