key,code,worker_a,worker_b,category,Range,Detail,Position,Note,defer,same_count,rms_deg,bottleneck_deg,ospa30_deg,cluster_A0_legacy,cluster_A1_mask,cluster_A2_local,cluster_A3_cyclic_cut08,cluster_A3_cyclic,cluster_A7_event,cluster_opposite_mask,cluster_opposite_cyclic8,cluster_opposite_cyclic12,cluster_rms_deg_cut1,pair_rms_deg_cut1,cluster_rms_deg_cut2,pair_rms_deg_cut2,cluster_rms_deg_cut3,pair_rms_deg_cut3,cluster_rms_deg_cut4,pair_rms_deg_cut4,cluster_rms_deg_cut6,pair_rms_deg_cut6,cluster_bottleneck_deg_cut2,pair_bottleneck_deg_cut2,cluster_bottleneck_deg_cut3,pair_bottleneck_deg_cut3,cluster_bottleneck_deg_cut4,pair_bottleneck_deg_cut4,cluster_bottleneck_deg_cut6,pair_bottleneck_deg_cut6,cluster_bottleneck_deg_cut8,pair_bottleneck_deg_cut8,OSPA30_c3_gate0,OSPA30_c3_gate1,OSPA30_c6_gate0,OSPA30_c6_gate1,OSPA30_c9_gate0,OSPA30_c9_gate1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df|semi|62376c3351699bc6|c9609d6092bb0730,b8cTxDM8gDG-07,W010,W014,similar_with_tolerance,相近,相近,接近,"簇1和簇2确实有明显区别,但是1,3,4 的区别不太大",False,True,0.8746711254170129,2.0479322295152325,0.4303155293892272,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual|c37f510f32a97089|352bcc94c85fa24a,b8cTxDM8gDG-04,W013,W017,different_expression_or_cover,不能判断,有增减或不同表达,有需单独记录的差异,"点数都不同了,这图确实不好看",False,False,,,7.37180133637531,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual|27582294b1e86c6a|1e1b64ea1dae6b40,e9zR4mvMWw7-19,W030,W035,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"这明显漏了中间的,同时这两位都漏了被挡起来的墙角",False,False,,,7.233670978137366,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494|manual|fd2b9ddb998c002ab336|e340e9ff963b2aad6120,pRbA3pwrgk9-11,W011,W035,unresolved,不能判断,,,这图oos,False,False,,,17.31794521874163,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual|063a5ec4d91eccc8b4c3|511d41c2a1ae8135d56a,uNb9QFRL6hY-50,W031,W033,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,31漏了浴缸区域的墙角,False,False,,,6.523184504483706,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual|1849bc7fd397907c0fdc|266064e3bd9d27c4efda,uNb9QFRL6hY-60,W002,W027,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,这个确实闭合区域不同了,False,False,,,9.569596222688045,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual|6d60091b52a8a93c|699e590cdc0187eb,X7HyMhZNoso-13,W002,W030,similar_with_tolerance,相近,相近,接近,我觉得基本一致,False,True,1.1861502398440569,2.080940733235504,0.9830880052252208,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,True,True
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df|semi|7129ad7e523aa525|3b710fb59e47c8d6,b8cTxDM8gDG-07,W029,W031,similar_with_tolerance,相近,相近,接近,,False,True,1.5475161421549724,4.131098175084203,1.1639247922418767,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494|manual|7f0a5c531957fa7e0f4c|677314e72434fc9329f2,pRbA3pwrgk9-11,W031,W034,similar_with_tolerance,不能判断,,,"oos,但是他们标注确实很接近",False,True,2.2273213824862483,5.24912638536214,1.6136855208197798,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual|b39330c925be7bca|b92cd1db2b605d45,wc2JMjhGNzB-15,W006,W036,similar_with_tolerance,相近,相近,接近,没看出啥不同,False,True,1.1468424236348398,1.96842783517866,0.9863333526275436,True,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3|semi|b1b61e100de771f2|21dc895dfa61871c,wc2JMjhGNzB-20,W014,W017,similar_with_tolerance,相近,相近,接近,没看出啥不同,False,True,0.9104913684666466,1.9840233714956428,0.5377915919948627,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual|4a6dba8a9c32eb66|a49a93c3a2018b34,yqstnuAEVhm-31,W008,W037,similar_with_tolerance,相近,相近,接近,没看出啥不同,False,True,2.161878370254334,2.873770186802182,2.019291566979698,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual|6f7020870942eee83774|955fdd77aab2e02c77b7,VFuaQ6m2Qom-07,W010,W031,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"对于细节区域的标注不同,有些有遗漏,有些有偏差.w31只是漏了右边墙的位置",False,False,,,6.042022311938413,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual|955fdd77aab2e02c77b7|9f1b2668af9bbb8c27ab,VFuaQ6m2Qom-07,W031,W037,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"对于细节的标注不同,主要是画面中间凹进去的地方 , 这两个对于右边墙那里也是有点遗漏的",False,False,,,12.546240345508158,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual|bd674c6f3557dcdb|88d9213c617fe790,e9zR4mvMWw7-19,W002,W036,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"02是最正确的,这036忽略了画面中的区域",False,False,,,10.595376868471876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103|semi|d484f67bf0c8f4a0|d0df2148541db2cf,q9vSo1VnCiC-15,W002,W006,different_expression_or_cover,相近,有增减或不同表达,有需单独记录的差异,不知道为什么06在第二对点那里多标了一组,False,False,,,6.000000085377365,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual|063a5ec4d91eccc8b4c3|b341f546633829a990db,uNb9QFRL6hY-50,W031,W035,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"35他直接标了马桶间,31遗漏了浴缸区域被挡起来的墙角",False,False,,,9.379034577818098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual|c7aeb60e2d3b55c2a7dc|02946d1a59a1cfe17aef,uNb9QFRL6hY-60,W029,W033,different_expression_or_cover,不同,有增减或不同表达,有需单独记录的差异,"29相对于33,没有标右边门口的区域的细节",False,False,,,10.994649898938434,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual|0657f6415220d28c|b5c368a4140e7de4,yqstnuAEVhm-31,W032,W036,different_expression_or_cover,不能判断,有增减或不同表达,疑似配对或预处理问题,"36好像缺少了两个点,中间壁炉那里的标注也有不同",False,False,,,6.973730078525874,False,False,False,False,True,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual|7834e8d354a01da4|6f9679a3058624e4,X7HyMhZNoso-13,W015,W031,similar_with_tolerance,相近,相近,接近,"主要标天花板和洗手台那里有点不同,整体上还是很接近的",False,True,2.466334746134998,5.156457804058773,1.9371198161799963,True,True,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual|a9df090a73a1a89c|8caa1a6f8af38d0e,b8cTxDM8gDG-04,W021,W035,different_expression_or_cover,不能判断,有增减或不同表达,有需单独记录的差异,"这个图本身就难标,而且这个标的也不太同,35在最右边多标了,21在门框标了",False,True,31.7012463777456,59.02198370427447,6.490872940235254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103|semi|d484f67bf0c8f4a0|2bc96fab1ff93d70,q9vSo1VnCiC-15,W002,W008,similar_with_tolerance,相近,相近,接近,"完全一致. 共识不是说必须一个像素不差,我觉得 w n 和w n的标注很接近,形成簇 也算是这俩人达成共识",False,True,3.0185456743143334e-07,8.537736462515939e-07,1.0672170578144925e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual|718f9a7977eee15c|b92cd1db2b605d45,wc2JMjhGNzB-15,W008,W036,similar_with_tolerance,相近,相近,接近,"其实我觉得簇1,簇2没啥区别,不过确实 w8第三对点标的比所有人都靠下",False,True,2.8164955620970726,6.740015422835485,1.944761332301156,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3|semi|b1b61e100de771f2|f04688b19d0918f8,wc2JMjhGNzB-20,W014,W035,similar_with_tolerance,相近,相近,接近,很接近,False,True,2.471230513816804,4.546567696000393,2.220692670303798,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
