feature,value,n,proportion
scene,卧室,151,0.233024691358
scene,通行与连接,126,0.194444444444
scene,卫浴,116,0.179012345679
scene,起居与休闲,78,0.12037037037
scene,厨房与用餐,52,0.0802469135802
scene,储藏与家务辅助,43,0.0663580246914
scene,unknown,32,0.0493827160494
scene,工作与学习,28,0.0432098765432
scene,特殊用途,11,0.016975308642
scene,开放复合空间,9,0.0138888888889
scene,无法判断,2,0.00308641975309
scene_initial,卧室,151,0.233024691358
scene_initial,通行与连接,124,0.191358024691
scene_initial,卫浴,117,0.180555555556
scene_initial,起居与休闲,77,0.118827160494
scene_initial,厨房与用餐,52,0.0802469135802
scene_initial,储藏与家务辅助,44,0.0679012345679
scene_initial,unknown,32,0.0493827160494
scene_initial,工作与学习,29,0.0447530864198
scene_initial,特殊用途,11,0.016975308642
scene_initial,开放复合空间,9,0.0138888888889
scene_initial,无法判断,2,0.00308641975309
doorway,否,606,0.935185185185
doorway,确认,27,0.0416666666667
doorway,疑似,14,0.0216049382716
doorway,无法判断,1,0.00154320987654
open_layout_evidence,未单独确定开放性,605,0.933641975309
open_layout_evidence,AI提出开放复合空间，待人工采用,34,0.0524691358025
open_layout_evidence,人工采用开放复合空间,9,0.0138888888889
floor_boundary,partial,514,0.793209876543
floor_boundary,present,134,0.206790123457
ceiling_boundary,present,560,0.864197530864
ceiling_boundary,partial,88,0.135802469136
corner_occlusion,present,514,0.793209876543
corner_occlusion,absent,134,0.206790123457
connected_space,present,644,0.993827160494
connected_space,unknown,3,0.00462962962963
connected_space,absent,1,0.00154320987654
reflection_glass,present,451,0.695987654321
reflection_glass,unknown,194,0.299382716049
reflection_glass,absent,3,0.00462962962963
low_contrast,absent,643,0.992283950617
low_contrast,present,5,0.00771604938272
