base_task_id,trigger,candidate_only,interpretation_allowed,reference_modified,rule_version,source_sha256,context_count,context_ids_json
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f|manual""]"
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37|semi""]"
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de|semi""]"
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980|manual""]"
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9|semi""]"
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2|manual""]"
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe|manual""]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual""]"
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b|manual""]"
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual""]"
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc|semi""]"
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1|manual""]"
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,minority_cluster_better_gt_alignment,True,False,False,gt_conflict_candidate_v1,0d4c87bd76a74063eda0125f612d4c3bc60fcb00c5d1122e5d50b23eaf25c4d3,1,"[""yqstnuAEVhm_9cb726b170554b9bacd039d4db246040|manual""]"
