building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,semantic__ai_fine_functions,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,semantic__ai_fine_functions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,semantic__ai_fine_functions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,semantic__ai_fine_functions,global,0,0.15568198263645172,28,"[18, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,卧室,semantic__ai_fine_functions,global,12,0.14087261259555817,28,"[18, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,卧室,semantic__ai_fine_functions,coarse,0,0.15568198263645172,28,"[18, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,卧室,semantic__ai_fine_functions,coarse,12,0.14087261259555817,28,"[18, 10, 0]",knn,16,0.0,3
