group_code,role,image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation,original_comment
G004,boundary_interior,2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7,8,data/mp3d_layout/valid/img/2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820.png,valid,独立浴缸、洗手盆和高水箱浴室,狭长浴室及尽端白柜凹处,固定设备挡墙脚；前厅仅远端开口出现,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"07是门洞交界处,8,15,16是标注范围一致. 标注时可以考虑去掉07,或者说研究就算是同个房间,但是站在门框那拍的,会有什么影响(低优先级的研究). 我填的选项是标注时排除07"
G004,boundary_doorway,2t7WUuJeko7_53937db036374126830e0f1203b04ead,2t7WUuJeko7,7,data/mp3d_layout/valid/img/2t7WUuJeko7_53937db036374126830e0f1203b04ead.png,valid,浴室入口与前厅同时显著,浴室围合与前厅围合两种范围解释并存,入口视点明显，不能与纯浴室内部图按相同信息条件优先配对,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,交界候选,G004,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"07是门洞交界处,8,15,16是标注范围一致. 标注时可以考虑去掉07,或者说研究就算是同个房间,但是站在门框那拍的,会有什么影响(低优先级的研究). 我填的选项是标注时排除07"
G174,boundary_interior,uNb9QFRL6hY_e39b52c7eedc4d859fca7888cab531ae,uNb9QFRL6hY,80,data/mp3d_layout/test/img/uNb9QFRL6hY_e39b52c7eedc4d859fca7888cab531ae.png,test,低位客卧床头旁,床、双壁龛和外门围合,近床头遮挡，入口高差较远,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G174,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"2是门洞交界处,排除掉2就还好"
G174,boundary_doorway,uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086,uNb9QFRL6hY,2,data/mp3d_layout/test/img/uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086.png,test,低位客卧入口短阶侧,床、双壁龛与阳台门围合,入口高差与凸墙，历史B15明确暂作同房,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,prior_discussion,,G174,G173;G174,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"2是门洞交界处,排除掉2就还好"
G002,optional_multiview_regular,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7,2,data/mp3d_layout/valid/img/2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59.png,valid,老式炉灶与白色橱柜厨房,厨房内小桌、固定橱柜与炉灶凸墙围合,炉灶遮住局部墙脚；通外餐室的窄门可见,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"02-03和02-05是同一房间吧
这个10,17 虽然房间一致,但是视角导致难标. 这张图是难得一个房间拍了5张图的,值得探索"
G002,optional_multiview_regular,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,5,data/mp3d_layout/valid/img/2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e.png,valid,炉灶旁厨房,与02相同厨房围合，餐室在独立开门之后,较靠近炉灶及外餐室门，门后信息更显著,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"02-03和02-05是同一房间吧
这个10,17 虽然房间一致,但是视角导致难标. 这张图是难得一个房间拍了5张图的,值得探索"
G002,optional_multiview_difficult,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,10,data/mp3d_layout/valid/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,valid,厨房靠后门小餐桌一端,同一厨房整体，含炉灶凸墙和橱柜,靠后门位置使远端厨房缩小；仍非独立餐室,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"02-03和02-05是同一房间吧
这个10,17 虽然房间一致,但是视角导致难标. 这张图是难得一个房间拍了5张图的,值得探索"
G014,OOS_existing_dense,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,8,data/mp3d_layout/test/img/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,test,楼梯挑空侧的上层平台,栏杆内侧可站立的平台与连通走道,楼梯洞和下层不可当作同一地面,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"这全是OOS,而且其实和7y3sRwLe3Va · 13 他们这组,都是在二层拍摄"
G014,OOS_existing_dense,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,12,data/mp3d_layout/test/img/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png,test,挑空楼梯旁上层平台,与17同一栏杆平台,靠侧房门，侧走廊比例更大,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"这全是OOS,而且其实和7y3sRwLe3Va · 13 他们这组,都是在二层拍摄"
G014,OOS_optional_extension,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,17,data/mp3d_layout/test/img/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.png,test,楼梯挑空栏杆平台,三盏吊灯、高窗对面的上层平台,楼梯洞、下层、两边走道需要范围解释,5,5,5,0,5,5,15,20,15,15,0,6;10;11;17;33,1;2;8;12;13;15;28;29;30;31;32;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed,"这全是OOS,而且其实和7y3sRwLe3Va · 13 他们这组,都是在二层拍摄"
