image_id,条件,用户原tag,原作答人数,有效独立人数,单列无效人数,保留已确认修正数,各簇人数_含单人,总簇数,支持簇数,单人簇数,单人比例,最小LOO_Jaccard,最小80pct子集Jaccard,同点数簇分离需审图,前8人完整后缀比例,至观察窗口支持核心稳定比例,支持核心尾段稳定比例,后四分段新标法率,建议粗类_非最终,判定说明,用户最终粗类,用户裁决原因,簇语义裁决,单人标法裁决
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,,3,3,0,0,3,1,1,0,0,1,,False,,,,,,too_few_valid_people,,,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,,3,3,0,0,3,1,1,0,0,1,,False,,,,,,too_few_valid_people,,,,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,,1,1,0,0,1,1,0,1,1,,,False,,,,,,too_few_valid_people,,,,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,,5,5,0,0,4;1,2,1,1,0.2,1,1,False,0.82,1,0.505,0.1775,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,,24,24,0,0,24,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,,24,24,0,0,17;2;1;1;1;1;1,7,2,5,0.208333333333,1,1,False,0,0.61,0.765,0.228333333333,,singleton_rich_boundary;not_automatically_difficult,,,,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,,5,5,0,0,2;1;1;1,4,1,3,0.6,1,,False,0,0.635,0.075,0.6625,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,,6,6,0,0,2;1;1;1;1,5,1,4,0.666666666667,1,,False,0,0.695,0.21,0.7175,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,中等,6,6,0,0,4;1;1,3,1,2,0.333333333333,1,1,False,0.665,1,0.86,0.345,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,中等,4,4,0,0,4,1,1,0,0,1,1,False,1,1,1,0,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,,,,
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,,5,5,0,0,3;1;1,3,1,2,0.4,1,,False,0.365,0.765,0.18,0.3525,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,,4,4,0,0,2;1;1,3,1,2,0.5,1,,False,0,0.55,0.195,0.55,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,,5,5,0,0,3;1;1,3,1,2,0.4,1,,False,0.57,1,0.275,0.385,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,,5,5,0,0,4;1,2,1,1,0.2,1,,False,0.715,0.83,0.34,0.19,,short_horizon_or_unconfirmed_multi_pattern,,,,
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,,5,5,0,0,4;1,2,1,1,0.2,1,,False,0.58,0.8,0.245,0.2025,,short_horizon_or_unconfirmed_multi_pattern,,,,
