"claim_id","claim","status","machine_source_path","counts","supports","does_not_support","next_minimum_data_action"
"REF_C1_PUBLIC_GT_INDEPENDENCE","C1正式数据具有在评分前冻结、且未由被分析提交触发修订的public GT reference。","verified","analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv | analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_operational_reference_audit.json | docs/thesis_main/PAPER_A_METHOD_CONTRACT_CURRENT.json","task_contexts=216; unique_base_tasks=87; primary_geometry_eligible=196; oos=20; submission_informed_revision_true=0; gt_quality_evaluable_rows=717; corrections=0","对196个eligible context可报告相对于冻结public GT的质量；程序性独立于当前被分析提交。","不证明public GT唯一正确，也不等同于新的独立专家复标。","复用时逐任务绑定reference_identity/reference_sha256，并继续执行submission-triggered revision排除。"
"REF_DENSE42_STAGE_BINDING","42个P1/C1高密度Manual任务可关联到阶段特定reference，但reference独立性强度不一致。","partial","analysis_results/rq1_stratified_uncertainty_20260827_v1/task_cell_metrics.csv | analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv | analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl","dense=42; C1_public_ready=12; P1_user_verified_ready=29; P1_not_ready=1; ready_total=41","42任务可用于reproducibility；41任务可在显式区分reference regime后做reference-relative质量。","不能无差别合并P1/C1为单一独立GT；P1未编码submission-informed修订标志，且1任务不ready。","冻结42行task-reference映射及reference_regime、SHA、independence_basis、geometry_ready。"
"POOL36_IDENTITY_AND_GT_PROVENANCE","两份候选manifest可机器重建无重复36图并集，correct_path均为官方MP3D label_cor。","verified","analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json | analysis_results/annotation_uncertainty_batch1_supplement_review_20260828_v1/candidate_manifest.json","original=28(main24+reserve4); supplement=8; union=36; unique=36; overlap=0; official_correct_path=36; test=33; valid=3","支持36图身份、来源及官方GT路径追溯。","manifest为not_frozen/review_only；不支持已审核通过、已冻结或可正式发放。","研究方案确定后输出单一冻结review/allowed-set表。"
"POOL36_REVIEW_DECISIONS_18_6_12","36图已形成18 PASS、6 REVISE、12 REJECT的机器可重放审核结果。","unresolved","analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json | analysis_results/annotation_uncertainty_batch1_supplement_review_20260828_v1/candidate_manifest.json","candidate_rows=36; machine_review_decision_fields=0; prose_claim=18/6/12; reconstructible_counts=null","只支持36个候选身份存在。","不支持18/6/12为机器冻结统计，也不能重放逐图决定、理由、审核者或时间。","导出36行review_id、decision、reason、reviewer、reviewed_at、source_manifest_sha256。"
"POOL14_CLEAN_4_PENDING","36图中已有14张clean，另有4张PASS但pending复核的机器可执行口径。","unresolved","analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json | analysis_results/annotation_uncertainty_batch1_supplement_review_20260828_v1/candidate_manifest.json","machine_clean=null; machine_pending=null; machine_review_fields=0; prose_clean=14; prose_pending=4; named_pending_ids_present=4","四个命名ID B1-004/B1-022/B1W-040/B1W-110属于36图并集。","不支持14张clean成员表或四张pending原因/资格已冻结。","补字段化审核导出并机械重算；此前14+4只作待核口径。"
"PROSPECTIVE_ALLOWED_SET_FREEZE","仓库已有本次36图实验带版本与SHA的机器可读allowed-set冻结文件。","not_available","","allowed_set_filename_matches=0; allowed_set_machine_content_matches=0","无。","不能宣称候选池已获准正式执行或锁定分析图片/reference。","研究方案确定后生成逐图allowed-set及decision、reason、reference SHA、版本、审核者、冻结时间。"
"LS_MULTIPERSON_MANUAL_HISTORICAL","历史数据证明Label Studio多人Manual采集与几何reproducibility计算可用。","verified","analysis_results/rq1_stratified_uncertainty_20260827_v1/task_cell_metrics.csv | analysis_results/rq1_stratified_uncertainty_20260827_v1/SOURCE_AND_METHOD_SUMMARY.json | docs/thesis_main/PAPER_A_METHOD_CONTRACT_CURRENT.json","manual_units=218; unique_images=187; k>=5=118; k>=15=46; dense_k23-26=42","可做同图多人几何分歧、rarefaction和reproducibility分析。","independence是protocol_assumption；汇总不证明行为独立或无重复暴露，LS CE不能单独承担分发真源。","新批次冻结外部assignment/runtime binding并审计重复、越权及历史精确图片暴露。"
"ACTIVE_TIME_CURRENT_AVAILABILITY","active_time历史C1数据可用且SHA一致，但前向配置尚无部署后覆盖。","partial","analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_worker_active_time.csv | analysis_results/rq1_stratified_uncertainty_20260827_v1/SOURCE_AND_METHOD_SUMMARY.json | tools/label_studio/label_studio_uncertainty_meta_manifest_v2.json","contexts=780; frozen_eligible=701; observed_rows=594; observed_tasks=84; SHA_match=true; live_deployed=false; behavior_changed=false","支持历史task-worker cumulative active_time及现有解析链可用。","不支持新36图一定完整采到active_time，也不是pre-edit阶段锁。","做最小新项目pilot，核对身份绑定、跨session累计、缺失率和提交桥接后冻结日志SHA。"
"FINAL_CORNER_ORDER_SERVER_BINDING","最终可见corner order已被服务器持久化并可与最终export逐条绑定。","not_available","tools/label_studio/official/ls_userscript_annotator.js | tools/label_studio/vis_3d.html | tools/label_studio/label_studio_uncertainty_meta_manifest_v2.json","client_order_code=true; storage=browser_localStorage; phase_events=not_collected; strict_server_audit=false; live_deployed=false","支持本地viewer具备order/signature交互与客户端缓存。","不支持最终顺序服务器审计、跨浏览器恢复或与最终export一一绑定。","测试save/no-save、reorder、refresh、resubmit，并持久化可导出的order+signature。"
"PRE_EDIT_TECHNICAL_LOCK","当前配置已技术强制首次编辑前完成并锁定预编辑回答。","not_available","tools/label_studio/label_studio_uncertainty_meta_manifest_v2.json","technical_time_lock=false; timing_basis=instruction_only; phase_events=not_collected; live_deployed=false","只支持worker instruction口径。","不支持回答确实先于编辑、未事后修改或阶段耗时可审计。","小样本pilot记录server-auditable first-edit/pre-edit-save并验证阻断；此前只作自报时序。"
"DEVELOPMENT_EXCLUSION_BOUNDARY","uncertainty_meta_feasibility开发包已由机器字段排除出未来正式科学分析。","verified","analysis_results/uncertainty_meta_feasibility_20260824_v1/assignment_manifest.csv | analysis_results/uncertainty_meta_feasibility_20260824_v1/sample_manifest.csv","rows=40; workers=8; tasks=5; development_only=40; formal_eligible_false=40; already_seen=40; samples_seen_by_all=5; prior_count=26","只可用于UI、字段、流程reproducibility/可行性检查。","不能把计划分配当作已观测、独立或科学样本，不得与正式批次合并。","继续保留development与formal_eligible=false字段，并在分析入口fail-closed排除。"
"ROLEPLAY_EXCLUSION_BOUNDARY","roleplay数据存在独立机器标签，可与正式数据自动分离。","unresolved","","roleplay_machine_records_found=0; roleplay_specific_eligibility_field_found=0","development包可按development字段排除，但不能推断另有roleplay记录。","若roleplay以普通身份进入export，当前证据不能保证自动识别和排除。","若执行roleplay，显式写roleplay_only_not_for_scientific_analysis和formal_eligible=false并单独保存项目/名单。"
