stage,scenario,base_task_id,building_id,support_band,valid_k,thresholds,supported_multimodal_at_all_thresholds,supported_multimodal_at_any_threshold,strong_at_all_thresholds,strong_at_any_threshold,not_evaluable_at_any_threshold,status
Calibration,current20_frozen_geometry_pool,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,high_support_k_ge_20,20,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,cap5_only,5,0.9;0.925;0.95,True,True,True,True,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
Calibration,current20_frozen_geometry_pool,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,cap5_only,5,0.9;0.925;0.95,False,False,False,False,False,development_threshold_robustness
