stage,task_id,base_task_id,condition,dataset_group,mp3d_building_scene_id,building_scene_id_source,pack_building_id_raw,pack_building_id_is_base_task_id,building_support_raw,observed_submission_count,valid_geometry_count,primary_analysis_eligible_count,corner_count_set,topology_status,consensus_status,reference_status,gt_provenance_class,gt_user_correction_status,gt_user_verification_scope,gt_source_artifact,gt_source_sha256,aggregation_context_present
C1,503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,True,5,5,5,0,4;6,dominant_with_dissent,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,Calibration_core,7y3sRwLe3Va,derived_from_formal_task_identity_prefix,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,True,5,5,5,0,4;6,not_evaluable,frozen_c1_sidecar_no_row_version_bound_not_evaluable,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,True,6,6,5,0,4;6,supported_multimodal,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,True,4,6,6,0,4;6;8,dominant_with_dissent,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction;strict_conflict_exclusion_candidate_only,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,Calibration_semi,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,True,4,4,4,0,8,unimodal,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction;strict_conflict_exclusion_candidate_only,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,True,4,5,5,0,10;6;8,dominant_with_dissent,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,Calibration_semi,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,True,4,4,4,0,10;7;8,dominant_with_dissent,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,698,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,Calibration_core,7y3sRwLe3Va,derived_from_formal_task_identity_prefix,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,True,5,5,5,0,4;8,not_evaluable,frozen_c1_sidecar_no_row_version_bound_not_evaluable,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,True,5,5,5,0,4,unimodal,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
C1,605,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,Calibration_core,7y3sRwLe3Va,frozen_C1_crowd_structure_building_id,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,True,5,5,5,0,5;6,dominant_with_dissent,frozen_c1_sidecar_reused_version_bound_not_recomputed,public_gt_validation_no_researcher_correction,mp3d_hohonet_source_no_researcher_correction,none,none,export_label/RAW_DATA_AND_GROUND_TRUTH_SCOPE_NOTE_20260817.md,c8b422755e75619798c053d5185b77606bce56c525b4d039642aa1feac30393c,False
