image_id,condition,trigger,question,numerical_evidence,priority
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.900000; model disagreement=0.020107; n=5; Bi policy=enclosed,high
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.121584; model disagreement=0.021580; n=6; Bi policy=enclosed,high
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.020107; model disagreement=0.097020; n=6; Bi policy=enclosed,high
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.070906; n=5; Bi policy=extended,high
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.800000; model disagreement=0.012990; n=7; Bi policy=extended,high
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.061643; n=5; Bi policy=extended,high
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.059237; n=5; Bi policy=extended,high
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.105317; n=5; Bi policy=extended,high
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.052780; n=6; Bi policy=extended,high
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.065275; n=6; Bi policy=extended,high
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.733333; model disagreement=0.015925; n=6; Bi policy=extended,high
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.933333; model disagreement=0.011791; n=6; Bi policy=extended,high
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=1.000000; model disagreement=0.018938; n=5; Bi policy=extended,high
zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.000000; model disagreement=0.058596; n=4; Bi policy=extended,high
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.024354; model disagreement=0.138631; n=4; Bi policy=extended,high
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.215420; model disagreement=0.014573; n=6; Bi policy=extended,high
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.018996; model disagreement=0.082026; n=6; Bi policy=extended,high
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.021088; model disagreement=0.076674; n=5; Bi policy=extended,high
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.145413; model disagreement=0.019342; n=24; Bi policy=extended,high
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.036767; model disagreement=0.079370; n=6; Bi policy=extended,high
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,models_disagree_humans_agree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,within_topology_geometry_dispersion=0.000000; model disagreement=0.082316; n=6; Bi policy=extended,high
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,models_agree_humans_disagree,核对真实边界是否可见、是否存在合理不同空间范围；共同模型偏差还是人员操作差异？不能仅依据参考或多数票裁决。,point_count_disagreement=0.500000; model disagreement=0.017290; n=4; Bi policy=enclosed,high
