field,applies_to,construct,primary_rq,analytic_role,current_decision,option_level_boundary,historical_compatibility
worker_scope_response,Manual_Correct_Wrong,worker judgment of Manhattan task applicability,RQ1,secondary_stratification,retain,options are worker responses and must not be treated as researcher truth,legacy scope normal required uniqueness and is not directly mappable
multiple_plausible_layouts,Manual_Correct_Wrong,worker judgment that two or more materially distinct complete layouts are plausible,RQ1,secondary_cross_check,retain,yes alone does not prove objective multimodality,no compatible legacy binary field
perceived_difficulty,Manual_Correct_Wrong,subjective workload after annotation,RQ1_RQ2,auxiliary_post_treatment,retain_auxiliary,ordinal response is not uncertainty or quality,legacy trivial plus reasons is not a 1-5 scale
difficulty_reason_status,Manual_Correct_Wrong,response completeness branch,none,qa_only,retain_qa,has_reason and no_reason prevent missingness ambiguity,legacy schema differs
difficulty_reason,Manual_Correct_Wrong,reported evidence or interface difficulty mechanism,RQ1_RQ2,exploratory,retain_optional,individual reasons are exploratory and other has no standalone interpretation,legacy multi-select may be described separately but not pooled silently
material_issue,Correct_Wrong,worker recognition of a mandatory proposal problem,RQ3,core_response,retain,yes-no is not model truth and is post-treatment,legacy multi-select model_issue is not directly mappable
issue_confidence,Correct_Wrong,confidence in material_issue judgment,RQ3,core_calibration,retain,not confidence in final layout,no compatible legacy field
primary_issue_family,Correct_Wrong,worker-selected dominant proposal problem family,RQ3,secondary_recognition,conditional_retain,requires frozen researcher truth family;topology_or_overparsing is double-barreled,legacy multi-label issue cannot be mapped to a primary family
required_correction,Correct_Wrong,anticipated mandatory correction magnitude,RQ3,secondary_recognition_action,conditional_retain,major geometry lacks a shared numeric threshold;actual geometry delta is preferred when intention is not a research target,no compatible legacy field
no_issue_handling,Correct_Wrong,intended handling after material_issue=no,RQ3,redundant_branch,candidate_delete,redundant with material_issue and final geometry and may prime editing,no compatible legacy field
layout_confidence,Manual_Correct_Wrong,confidence in final layout choice,RQ1_RQ2,not_currently_collected,defer_unless_core,add only after mentor makes subjective within-person uncertainty a core construct,no historical field
