base_task_id,building_id,image_reference,remote_reference_available,workspace_local_found,workspace_local_path,git_tracked_image_found,candidate_image_count
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,False,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,False,3
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,False,3
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,False,4
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,True,True,trap集/manual/非常简单/task630/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,True,4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.jpg,True,True,"trap集/OOS/错层,天花板下凸/task575/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png",True,4
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.jpg,True,True,"trap集/OOS/错层,天花板下凸/task496/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png",True,4
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,False,3
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,False,4
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,False,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,False,3
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg,False,3
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.jpg,False,3
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.jpg,False,3
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_fdab6422162e49db822a37178ab70481.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_fdab6422162e49db822a37178ab70481.jpg,False,3
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.jpg,True,True,trap集/semi/过度解析/task505/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,True,4
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.jpg,True,True,trap集/manual/拼接缝及拉伸/task687/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.png,True,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.jpg,False,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.jpg,False,4
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_75327de9719945aa8b893a6404667884.jpg,True,True,data/mp3d_layout/img_v/B6ByNegPMKs_75327de9719945aa8b893a6404667884.jpg,False,3
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,True,True,trap集/manual/拼接缝及拉伸/task510/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.png,True,4
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,False,4
