building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__block6__panorama_local16,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__block6__panorama_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__block6__panorama_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,global,7,0.17666496336460114,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,global,6,0.16214275360107422,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,coarse,7,0.17666496336460114,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,coarse,6,0.16214275360107422,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,main,7,0.17666496336460114,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,dinov3__block6__panorama_local16,main,6,0.16214275360107422,28,"[18, 10, 0]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,global,0,0.16789522767066956,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,global,6,0.1774999052286148,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,coarse,0,0.16789522767066956,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,coarse,6,0.1774999052286148,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,main,0,0.16789522767066956,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,dinov3__block6__panorama_local16,main,6,0.1774999052286148,16,"[0, 6, 10]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,global,3,0.23863941431045532,9,"[6, 3, 0]",ridge,0,0.1,0
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,global,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,coarse,3,0.23863941431045532,9,"[6, 3, 0]",ridge,0,0.1,0
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,coarse,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,main,3,0.21071790158748627,9,"[6, 3, 0]",ridge,0,0.1,0
Z6MFQCViBuw,厨房与用餐,dinov3__block6__panorama_local16,main,5,0.1813073754310608,9,"[6, 3, 0]",knn,0,0.0,3
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,global,0,0.16196806728839874,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,global,6,0.16666650772094727,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,coarse,0,0.16196806728839874,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,coarse,6,0.16666650772094727,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,main,0,0.16196806728839874,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,卧室,dinov3__block6__panorama_local16,main,6,0.16666650772094727,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,global,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,global,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,coarse,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,coarse,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,main,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,dinov3__block6__panorama_local16,main,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,global,0,0.10456923395395279,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,global,13,0.09928542375564575,28,"[23, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,coarse,0,0.10456923395395279,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,coarse,13,0.09928542375564575,28,"[23, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,main,0,0.10456923395395279,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,dinov3__block6__panorama_local16,main,13,0.09928542375564575,28,"[23, 5, 0]",knn,16,0.0,5
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,global,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,global,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,coarse,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,coarse,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,main,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,dinov3__block6__panorama_local16,main,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,global,0,0.16540852189064026,30,"[20, 10, 0]",ridge,0,100.0,0
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,global,6,0.14866657555103302,30,"[20, 10, 0]",knn,0,0.0,5
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,coarse,0,0.16540852189064026,30,"[20, 10, 0]",ridge,0,100.0,0
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,coarse,6,0.14866657555103302,30,"[20, 10, 0]",knn,0,0.0,5
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,main,0,0.16540852189064026,30,"[20, 10, 0]",ridge,0,100.0,0
rPc6DW4iMge,卧室,dinov3__block6__panorama_local16,main,6,0.14866657555103302,30,"[20, 10, 0]",knn,0,0.0,5
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,dinov3__block6__panorama_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,global,0,0.13924606144428253,24,"[19, 5, 0]",ridge,0,100.0,0
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,global,12,0.1273144632577896,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,coarse,0,0.13924606144428253,24,"[19, 5, 0]",ridge,0,100.0,0
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,coarse,12,0.1273144632577896,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,main,0,0.13924606144428253,24,"[19, 5, 0]",ridge,0,100.0,0
uNb9QFRL6hY,卧室,dinov3__block6__panorama_local16,main,12,0.1273144632577896,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,global,0,0.255467027425766,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,global,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,coarse,0,0.255467027425766,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,coarse,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,main,0,0.255467027425766,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,dinov3__block6__panorama_local16,main,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,dinov3__block6__panorama_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,global,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,global,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,coarse,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,coarse,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,main,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,dinov3__block6__panorama_local16,main,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,global,3,0.15082192420959473,28,"[18, 10, 0]",ridge,0,0.1,0
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,global,6,0.16642846167087555,28,"[18, 10, 0]",knn,0,0.0,5
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,coarse,3,0.15082192420959473,28,"[18, 10, 0]",ridge,0,0.1,0
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,coarse,6,0.16642846167087555,28,"[18, 10, 0]",knn,0,0.0,5
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,main,3,0.15082192420959473,28,"[18, 10, 0]",ridge,0,0.1,0
wc2JMjhGNzB,卧室,dinov3__block6__panorama_local16,main,6,0.16642846167087555,28,"[18, 10, 0]",knn,0,0.0,5
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,global,3,0.10023792088031769,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,global,4,0.08823493868112564,17,"[0, 3, 14]",knn,0,0.0,1
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,coarse,3,0.10023792088031769,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,coarse,4,0.08823493868112564,17,"[0, 3, 14]",knn,0,0.0,1
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,main,3,0.10023792088031769,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,dinov3__block6__panorama_local16,main,4,0.08823493868112564,17,"[0, 3, 14]",knn,0,0.0,1
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,global,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,global,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,coarse,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,coarse,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,main,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,dinov3__block6__panorama_local16,main,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,dinov3__block6__panorama_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,global,3,0.24165190756320953,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,global,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,coarse,3,0.24165190756320953,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,coarse,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,main,3,0.21378380060195923,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,dinov3__block6__panorama_local16,main,5,0.1813073754310608,9,"[6, 3, 0]",knn,0,0.0,3
