base_task_id,fold,predictor_worker_ids,heldout_worker_ids,predictor_support,heldout_support,manual_predictor_entropy,manual_heldout_entropy,semi_entropy,crossfit_delta_entropy,status,status_zh,calculation
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,A_to_B,14;31;34,18;32;8,3,3,-0.0,1.0986122886681096,-0.0,-1.0986122886681096,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,B_to_A,18;32;8,14;31;34,3,3,1.0986122886681096,-0.0,-0.0,0.0,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,A_to_B,1;33;37,2;34,3,2,0.6365141682948128,,1.0397207708399179,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,B_to_A,2;34,1;33;37,2,3,,0.6365141682948128,1.0397207708399179,0.4032066025451051,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,A_to_B,11;33;37,15;34,3,2,0.6365141682948128,,-0.0,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B_to_A,15;34,11;33;37,2,3,,0.6365141682948128,-0.0,-0.6365141682948128,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,A_to_B,27;29;36,28;35,3,2,-0.0,,0.5623351446188083,,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B_to_A,28;35,27;29;36,2,3,,-0.0,0.5623351446188083,0.5623351446188083,not_evaluable_insufficient_disjoint_support,原始码：not_evaluable_insufficient_disjoint_support,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,A_to_B,13;28;34,14;29;35,3,3,0.6365141682948128,,0.5623351446188083,,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B_to_A,14;29;35,13;28;34,3,3,,0.6365141682948128,0.5623351446188083,-0.07417902367600449,estimated,已估计,Semi entropy - disjoint held-out Manual entropy; predictor uses the other disjoint Manual subset
