task_id,annotation_id,annotator_id,scope_vote,problem_reason,max_abs_delta,plausible_candidate,likely_issue,reviewer_note
2948,2614,9,normal,compatibility_failure_odd_keypoint,,no,annotation_geometry,"This annotator is doing random labeling. We cannot use this label, and the marked points are not properly paired."
2948,2624,2,normal,,0.031964234553065296,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2948,2626,11,normal,compatibility_failure_duplicate,,no,unclear,"Although the four points on the right of this image are close together in the 2D view, so their actual spacing is indeed very small."
2948,2631,10,normal,,0.031964234553065296,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2948,2641,13,normal,,0.21438356141885606,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2948,2651,8,normal,,0.031964234553065296,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2948,2656,6,normal,compatibility_failure_duplicate,,no,annotation_geometry,"The annotator's markings are uneven with no fine adjustment, but it should be possible to generate candidate points."
2948,2661,15,normal,,0.037701474487796816,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2948,2667,17,normal,,0.0895972284430826,yes,unclear,"The candidate points from the algorithm show almost no judge. The original annotations look good, though."
2949,2615,9,normal,large_candidate_delta,9.203673990471728,unsure,algorithm_overfit,"In this image, the original annotation has a misplaced point, and the candidate points on the right deviate greatly from the correct positions."
2949,2627,11,oos_split_level,,2.236346792284138,yes,annotation_geometry,"This is the best candidate point generation result. It fits 3D Manhattan, with a clearly visible improvement."
2949,2632,10,oos_split_level,,0.1814756855336448,yes,annotation_geometry,"The algorithm merely adjusted the labeled points. overall correct"
2949,2642,13,oos_split_level,large_candidate_delta,9.31758225251582,unsure,algorithm_overfit,"In this image, the original annotation has a misplaced point, and the candidate points on the right deviate greatly from the correct positions."
2949,2652,8,normal,large_candidate_delta,11.367745006426773,unsure,algorithm_overfit,"In this image, the original annotation has a misplaced point, and the candidate points on the right deviate greatly from the correct positions."
2949,2657,6,oos_split_level,self_crossing_candidate,,no,annotation_geometry,"not the correct label"
2949,2662,15,normal,,0.1814756855336448,yes,annotation_geometry,"The algorithm merely adjusted the labeled points. overall correct"
