image_id,building,condition,subset,observed_n,actual_full_n,workers,prefix_grade,prefix_status,full_grade,full_status,prefix_early,future_pair_coverage,definition
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0,6,24,W002;W013;W017;W029;W033;W034,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,1,6,24,W008;W010;W013;W015;W021;W037,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,2,6,24,W001;W012;W014;W018;W021;W036,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,3,6,24,W006;W010;W027;W029;W030;W037,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,6,24,W015;W017;W021;W027;W032;W034,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,5,6,24,W001;W011;W013;W018;W028;W030,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,6,6,24,W011;W014;W015;W018;W031;W036,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,7,6,24,W001;W008;W014;W030;W035;W037,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,8,6,24,W010;W013;W014;W018;W029;W036,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,9,6,24,W001;W011;W012;W013;W014;W035,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,10,6,24,W002;W006;W012;W029;W033;W035,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,11,6,24,W011;W012;W017;W029;W035;W037,simple,assigned_observed_early,simple,assigned_observed_early,1,1,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0,6,24,W002;W008;W014;W028;W031;W033,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.777777777778,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,1,6,24,W011;W015;W021;W027;W032;W034,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.833333333333,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,2,6,24,W012;W017;W032;W034;W035;W036,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.777777777778,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,3,6,24,W002;W008;W015;W018;W028;W036,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.777777777778,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,4,6,24,W008;W010;W013;W017;W027;W031,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.666666666667,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,5,6,24,W014;W017;W018;W021;W027;W034,,limited_horizon_or_order_sensitive,difficult_candidate,assigned_observed_fragmentation_and_change,0,0.666666666667,reclassify actual 6-person pool using only its responses; full target is retrospective comparison
