code,image_id,condition,id_a,id_b,source,relation,note,worker_a,worker_b,count_a,count_b,status,top_fixed,bottom_fixed,split_fixed,split_fixed_mean,top_cyclic,top_shift,top_shift_margin_deg,top_free,bottom_cyclic,bottom_shift,bottom_shift_margin_deg,bottom_free,split_cyclic,split_free,bound_fixed,bound_cyclic,bound_free,bound_shift,bound_shift_margin_deg,bound_fixed_mean,same_fixed_correspondence,same_cyclic_correspondence,bound_source_a,bound_source_b,split_fixed_same_full_group9,bound_fixed_same_full_group9,split_cyclic_same_full_group9,bound_cyclic_same_full_group9,split_free_same_full_group9,bound_free_same_full_group9,top_fixed_same_full_group9,bottom_fixed_same_full_group9
b8cTxDM8gDG-07,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,62376c3351699bc6,c9609d6092bb0730,user_confirmed_six,可视为相近,,W010,W014,12,12,both_available,1.300725157769782,2.0479322295150344,2.0479322295150344,0.430315286475415,1.300725157769782,0.0,95.73561313592477,1.300725157769782,2.0479322295150344,0.0,93.63943397564209,2.0479322295150344,2.0479322295150344,2.0479322295150344,2.0479322295150344,2.0479322295150344,2.0479322295150344,0.0,94.9884060641795,0.430315286475415,True,True,user_confirmed_links,user_confirmed_links,True,True,True,True,True,True,True,True
VFuaQ6m2Qom-07,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,6b1d44df0ab19f6b9f32,955fdd77aab2e02c77b7,user_confirmed_six,应分开保留差异,,W001,W031,20,20,both_available,127.19603831856796,111.36120601101169,127.19603831856796,14.121217896976002,68.54348567077844,1.0,57.16269759027766,68.54348567077844,66.58060541143017,1.0,44.78060059958152,66.58060541143017,68.54348567077844,68.54348567077844,127.19603831856796,68.54348567077844,68.54348567077844,1.0,57.16269759027766,14.121217896976002,True,True,user_confirmed_links,user_confirmed_links,False,False,False,False,False,False,False,False
rPc6DW4iMge-17,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,8f8e88f1dac7e186,5bd0d7c388ee1b68,user_confirmed_six,应分开保留差异,"最后一对点明显不是同一类的标注,一个标到门外了,一个标门内",W030,W034,14,14,both_available,35.314762944358456,37.4150065994327,37.4150065994327,6.828825592963058,35.314762944358456,0.0,27.021544674650222,35.314762944358456,37.4150065994327,0.0,11.863972317484638,37.4150065994327,37.4150065994327,37.4150065994327,37.4150065994327,37.4150065994327,37.4150065994327,0.0,24.921301019575978,6.828825592963058,True,True,user_confirmed_links,user_confirmed_links,False,False,False,False,False,False,False,False
X7HyMhZNoso-13,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,6d60091b52a8a93c,699e590cdc0187eb,user_confirmed_six,可视为相近,,W002,W030,8,8,both_available,2.080940733235289,1.1563470606868107,2.080940733235289,0.9830880052251345,2.080940733235289,0.0,89.35937405511554,2.080940733235289,1.1563470606868107,0.0,73.23710862993187,1.1563470606868107,2.080940733235289,2.080940733235289,2.080940733235289,2.080940733235289,2.080940733235289,0.0,89.35937405511554,0.9830880052251345,True,True,user_confirmed_links,user_confirmed_links,False,False,False,False,False,False,False,True
wc2JMjhGNzB-30,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,62ca76d9e84ab7370421,ff368b2d52c03c9c2c5d,user_confirmed_six,应分开保留差异,,W001,W011,12,20,different_total_count,,,,,,,,,,,,,,,,,,,,,,,user_confirmed_links,user_confirmed_links,False,False,False,False,False,False,False,False
q9vSo1VnCiC-15,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,d484f67bf0c8f4a0,d0df2148541db2cf,user_confirmed_six,应分开保留差异,,W002,W006,8,10,different_total_count,,,,,,,,,,,,,,,,,,,,,,,user_confirmed_links,user_confirmed_links,False,False,False,False,False,False,False,False
q9vSo1VnCiC-13,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,d98e0f6e768e3029,680d9cdf96eaadf7,local_AI_unconfirmed,,主代理与子代理review_mixed_dense独立看图一致：W032在中央立面x≈529有5/6贯通高低端点，而W036无此组；W036在左卧室x≈107有1/2，而W032无此组。同14点但局部表达数量分配不同，OSPA同簇值得质疑。最右x≈1004–1011双方端点接近，主要差异不能归因于接缝。 接缝补查：W006与W015左端均有点（x≈4–8），W006右端另有两组17/18（x≈1020/1022）和19/20（x≈1003/1001）；W015无右端点而在中央x≈517–528增加两组。不是简单的一人左、一人右标同一角；边缘是否冗余仍待裁决，不能自动循环移位消除差异。,W032,W036,14,14,both_available,59.46800944925732,59.972683078558816,59.972683078558816,24.11595639839163,59.46800944925732,0.0,3.494167740757838,59.46800944925732,56.95905499596568,1.0,3.0136280825931365,56.95905499596568,59.46800944925732,59.46800944925732,59.972683078558816,59.972683078558816,59.972683078558816,0.0,2.989494111456345,24.11595639839163,True,False,legacy_links_opposite_role_checked_not_human_confirmed,legacy_links_opposite_role_checked_not_human_confirmed,False,False,False,False,False,False,False,False
q9vSo1VnCiC-13,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,e6cf4672ca0a98e0,164460ea4b39a74c,local_AI_unconfirmed,,主代理与子代理review_mixed_dense独立看图一致：W032在中央立面x≈529有5/6贯通高低端点，而W036无此组；W036在左卧室x≈107有1/2，而W032无此组。同14点但局部表达数量分配不同，OSPA同簇值得质疑。最右x≈1004–1011双方端点接近，主要差异不能归因于接缝。 接缝补查：W006与W015左端均有点（x≈4–8），W006右端另有两组17/18（x≈1020/1022）和19/20（x≈1003/1001）；W015无右端点而在中央x≈517–528增加两组。不是简单的一人左、一人右标同一角；边缘是否冗余仍待裁决，不能自动循环移位消除差异。,W006,W015,20,20,both_available,73.80769574951267,70.27251840968168,73.80769574951267,25.920533762964112,59.90213671110923,1.0,13.905559038403446,50.10217799271082,61.71611508426762,1.0,8.55640332541406,41.27715833790214,61.71611508426762,50.10217799271082,73.80769574951267,61.71611508426762,50.10217799271082,1.0,12.091580665245054,25.920533762964112,True,True,legacy_links_opposite_role_checked_not_human_confirmed,legacy_links_opposite_role_checked_not_human_confirmed,False,False,False,False,False,False,False,False
rPc6DW4iMge-01,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,73e2d1fca7e2ec1b2b59,d4f265a1a24e286d2575,local_AI_unconfirmed,,主代理与子代理review_singleton_split一致：两份四组位置相同，偏差集中于左窗旁和磨砂玻璃右缘；未见一方增漏点对。W037与W006瓶颈/局部距离约4.432度，但与W006同簇W010、W035的瓶颈距离分别10.0226、9.8216度。单人簇有完整链接机制原因，不足以认定人员异常或直接合并整个邻簇。,W037,W006,8,8,both_available,3.635901005479225,4.432303582147108,4.432303582147108,2.704491862782678,3.635901005479225,0.0,51.64703577850192,3.635901005479225,4.432303582147108,0.0,45.81310248434845,4.432303582147108,4.432303582147108,4.432303582147108,4.432303582147108,4.432303582147108,4.432303582147108,0.0,50.85063320183404,2.704491862782678,True,True,legacy_links_opposite_role_checked_not_human_confirmed,legacy_links_opposite_role_checked_not_human_confirmed,False,False,False,False,False,False,True,True
VFuaQ6m2Qom-04,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,4b65c7d12eb6fbf42766,c2176d956a2b8b97e6b8,local_AI_unconfirmed,,主代理与子代理review_mixed_dense核对：W031在x≈634/642/654表达三组上下点，W032在该处约635/654两组；更右W032约695/702两组，W031约699一组。同18点的局部数量互换，按x次序可能跨局部对应；这些近邻究竟是窄墙细节还是冗余/定位差，待用户裁决。,W031,W032,18,18,both_available,14.399962128566608,13.698048074271169,14.399962128566608,3.8413449714396912,14.399962128566608,0.0,107.29056995227029,14.399962128566608,13.698048074271169,0.0,97.0174828985505,13.698048074271169,14.399962128566608,14.399962128566608,14.399962128566608,14.399962128566608,14.399962128566608,0.0,107.29056995227029,3.8413449714396912,True,True,legacy_links_opposite_role_checked_not_human_confirmed,legacy_links_opposite_role_checked_not_human_confirmed,False,False,False,False,False,False,False,False
