annotator_id,language,completion_status,eligible_for_primary_prescreen_candidate,project_id,task_id,dataset_group,condition,worker_scope_raw,worker_scope_normalized,task_final_scope,task_scope_adjudication_source,worker_scope_response,geometry_valid_or_present,geometry_primary_possible,scope_response_primary_eligible,notes
10,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
12,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
13,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
14,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
15,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
17,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
19,zh,known_bad_complete,False,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
2,zh,pending_completion,False,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
21,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
6,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
8,zh,complete,True,28,3053,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
10,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
12,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
13,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
14,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
15,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
17,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
19,zh,known_bad_complete,False,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
2,zh,pending_completion,False,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
21,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
6,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
8,zh,complete,True,28,3054,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
10,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
12,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
13,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
14,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
15,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
17,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
19,zh,known_bad_complete,False,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
21,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
6,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
8,zh,complete,True,28,3055,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
10,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
12,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
13,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
14,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
15,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
17,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
19,zh,known_bad_complete,False,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
21,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
6,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
8,zh,complete,True,28,3056,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
10,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
12,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
13,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
14,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
15,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
17,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
19,zh,known_bad_complete,False,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,False,dry_run_partial_snapshot
21,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
6,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
8,zh,complete,True,28,3057,PreScreen_manual,manual,normal,in_scope,in_scope,final_gold,correct_in_scope,True,True,True,dry_run_partial_snapshot
10,zh,complete,True,28,3058,PreScreen_manual,manual,oos_open_boundary,oos,in_scope,final_gold,scope_false_positive,True,True,True,dry_run_partial_snapshot
11,zh,complete,True,28,3058,PreScreen_manual,manual,oos_open_boundary,oos,in_scope,final_gold,scope_false_positive,True,True,True,dry_run_partial_snapshot
