variable_en,variable_zh,meaning_zh,approximate_formula
computable,可计算,该记录具有计算该变量所需的数值/几何；不等于原论文正式资格,required fields are present and numerically valid
formal_use_allowed,原论文正式使用允许,旧方法合同下是否可进入正式 estimand；本报告不把它作为全局删除条件,legacy/formal eligibility flag
shannon_entropy,Shannon 模式熵,模式分布越分散，值越大,-sum_m p_m * ln(p_m)
gini_simpson,Gini–Simpson 分歧,随机抽两份标注落入不同模式的概率型指标,1 - sum_m p_m^2
largest_mode_share,最大模式占比,最大几何/拓扑模式的支持人数除以有效人数,max_m n_m / sum_m n_m
topology_shannon_entropy,拓扑熵,以角点数量/点数签名作为类别计算的跨阶段描述性熵,"-sum_j p_j * ln(p_j), j indexes n_corners signatures"
same_topology_cyclic_rmse_median,同拓扑循环对齐 RMSE 中位数,相同角点数标注经循环位移/反向对齐后的坐标差，除以全景对角线,median min_shift sqrt(mean(dx_circular^2+dy^2))/sqrt(1024^2+512^2)
pairwise_jaccard_mean,元标签集合平均 Jaccard,两名工人选择集合的交集/并集，再对工人对取均值,mean_{u<v} |S_u∩S_v|/|S_u∪S_v|
mean_label_entropy,平均元标签熵,对每个二元标签计算 Bernoulli 熵，再在标签上取均值,mean_l[-p_l ln p_l-(1-p_l)ln(1-p_l)]
active_time_observed_seconds,活跃操作时间（秒）,各阶段脚本记录的活跃交互时间；C1 按 task-worker-session 正式规则重建,within session max cumulative seconds; sum eligible sessions for C1
lead_time_seconds,Label Studio 经过时间（秒）,从界面开始到提交的 elapsed time；与 active time 分开分析,Label Studio annotation.lead_time
active_to_lead_ratio,活跃/经过时间比,活跃操作时间除以 lead time；仅两者均有值且 lead time>0时定义,active_time / lead_time
delta_iou_to_gt,Semi−Manual GT IoU 差,同图任务均值质量之差；资格口径需另行说明,mean_u IoU_semi - mean_u IoU_manual
largest_mode_rate,工人进入最大模式比例,工人在具有唯一分区的重复任务中落入最大簇的比例,count(is_largest_mode)/task_count
